,Countries,Total Cases,New Cases,Total Deaths,New Deaths,Total Recoveries,New Recoveries
0,Rwanda,102,13,0,0,0,0
1,Mauritius,196,10,7,0,7,7
2,Liechtenstein,77,2,1,1,0,0
3,Heard and Mcdonald Islands,0,0,0,0,0,0
4,Viet Nam,240,3,0,0,90,5
5,Turkey,23934,3013,501,76,786,302
6,Tajikistan,0,0,0,0,0,0
7,Chile,4161,424,27,5,528,101
8,South Georgia and the South Sandwich Islands,0,0,0,0,0,0
9,British Indian Ocean Territory,0,0,0,0,0,0
10,Marshall Islands,0,0,0,0,0,0
11,Kyrgyzstan,144,14,1,0,9,3
12,Ghana,205,0,5,0,31,0
13,Poland,3627,244,79,8,116,60
14,Dominica,14,2,0,0,0,0
15,ALA Aland Islands,0,0,0,0,0,0
16,Namibia,14,0,0,0,3,0
17,New Caledonia,0,0,0,0,0,0
18,Finland,1882,267,25,5,300,0
19,Japan,3139,522,77,14,514,0
20,Greece,1673,60,68,5,78,0
21,Faroe Islands,0,0,0,0,0,0
22,"Virgin Islands, US",0,0,0,0,0,0
23,Venezuela (Bolivarian Republic),155,2,7,0,52,0
24,Barbados,52,1,0,0,0,0
25,Syrian Arab Republic (Syria),16,0,2,0,2,2
26,Liberia,10,3,1,1,3,3
27,Saudi Arabia,2179,140,29,4,420,69
28,Saint Helena,0,0,0,0,0,0
29,Congo (Kinshasa),154,20,18,5,3,0
30,Libya,18,7,1,0,0,0
31,Norway,5550,180,62,3,32,0
32,Svalbard and Jan Mayen Islands,0,0,0,0,0,0
33,Belize,4,0,0,0,0,0
34,Cambodia,114,0,0,0,50,15
35,Bolivia,139,7,10,1,1,0
36,Russian Federation,4731,582,43,9,333,52
37,Guernsey,0,0,0,0,0,0
38,Nigeria,214,4,4,0,25,0
39,Gibraltar,0,0,0,0,0,0
40,Solomon Islands,0,0,0,0,0,0
41,Benin,16,0,0,0,2,0
42,Canada,12978,541,217,39,2577,402
43,Netherlands Antilles,0,0,0,0,0,0
44,Latvia,509,16,1,0,1,0
45,United Kingdom,42477,3788,4320,709,215,7
46,Côte d'Ivoire,245,27,1,0,25,6
47,Palau,0,0,0,0,0,0
48,Brunei Darussalam,135,1,1,0,66,1
49,Korea (North),0,0,0,0,0,0
50,Kenya,126,4,4,0,4,0
51,Norfolk Island,0,0,0,0,0,0
52,Switzerland,20505,899,666,75,6415,1569
53,Croatia,1126,47,12,4,119,27
54,Angola,10,2,2,0,2,1
55,Botswana,4,0,1,0,0,0
56,Luxembourg,2729,117,31,0,500,0
57,Germany,96092,4933,1444,169,26400,1825
58,Romania,3613,430,146,13,329,46
59,Qatar,1325,250,3,0,109,16
60,Republic of Kosovo,135,9,1,0,16,6
61,Djibouti,50,1,0,0,8,0
62,Guinea-Bissau,18,3,0,0,0,0
63,Portugal,10524,638,266,20,75,7
64,American Samoa,0,0,0,0,0,0
65,Iceland,1417,53,4,0,396,87
66,Malawi,4,1,0,0,0,0
67,French Guiana,0,0,0,0,0,0
68,Guyana,23,0,4,0,0,0
69,Yemen,0,0,0,0,0,0
70,Samoa,0,0,0,0,0,0
71,San Marino,259,14,32,2,27,6
72,Cook Islands,0,0,0,0,0,0
73,"Hong Kong, SAR China",0,0,0,0,0,0
74,Saint Kitts and Nevis,9,0,0,0,0,0
75,Antarctica,0,0,0,0,0,0
76,Nicaragua,5,0,1,0,0,0
77,Spain,126168,6969,11947,749,34219,3706
78,Haiti,20,2,0,0,1,0
79,Tokelau,0,0,0,0,0,0
80,Martinique,0,0,0,0,0,0
